id,created_at,parameter,serial_number,ts,value,device_model_id
2563709955,2023-01-01T08:16:09.931780,PV1Current,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709956,2023-01-01T08:16:09.933122,PV1Voltage,J01G11301BNB114,2023-01-01T05:16:07.325,28.1,13
2563709957,2023-01-01T08:16:09.933745,PV3Current,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709958,2023-01-01T08:16:09.934503,powerFactory,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709959,2023-01-01T08:16:09.935051,deviceID,J01G11301BNB114,2023-01-01T05:16:07.325,J01G11301BNB114,13
2563709960,2023-01-01T08:16:09.935595,CCurrent,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709961,2023-01-01T08:16:09.936138,PV2Current,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709962,2023-01-01T08:16:09.936686,lineFrequency,J01G11301BNB114,2023-01-01T05:16:07.325,60.02,13
2563709963,2023-01-01T08:16:09.937245,ACurrent,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709964,2023-01-01T08:16:09.937802,AVoltage,J01G11301BNB114,2023-01-01T05:16:07.325,224.4,13
2563709965,2023-01-01T08:16:09.938384,inverterStatus,J01G11301BNB114,2023-01-01T05:16:07.325,Check,13
2563709966,2023-01-01T08:16:09.938964,PV4Current,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709967,2023-01-01T08:16:09.939519,Temp,J01G11301BNB114,2023-01-01T05:16:07.325,24,13
2563709968,2023-01-01T08:16:09.940140,BVoltage,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709969,2023-01-01T08:16:09.940701,BCurrent,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709970,2023-01-01T08:16:09.941269,PV4Voltage,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709971,2023-01-01T08:16:09.941869,outputEnergy,J01G11301BNB114,2023-01-01T05:16:07.325,4871.2,13
2563709972,2023-01-01T08:16:09.942457,CVoltage,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709973,2023-01-01T08:16:09.943042,PV2Voltage,J01G11301BNB114,2023-01-01T05:16:07.325,27.8,13
2563709974,2023-01-01T08:16:09.943598,PV3Voltage,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563709975,2023-01-01T08:16:09.944243,acActivePower,J01G11301BNB114,2023-01-01T05:16:07.325,0,13
2563738306,2023-01-01T08:22:09.855608,PV1Current,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738307,2023-01-01T08:22:09.856837,PV1Voltage,J01G11301BNB114,2023-01-01T05:22:07.327,56.7,13
2563738308,2023-01-01T08:22:09.857506,PV3Current,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738309,2023-01-01T08:22:09.858061,powerFactory,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738310,2023-01-01T08:22:09.858659,deviceID,J01G11301BNB114,2023-01-01T05:22:07.327,J01G11301BNB114,13
2563738311,2023-01-01T08:22:09.859203,CCurrent,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738312,2023-01-01T08:22:09.859789,PV2Current,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738313,2023-01-01T08:22:09.860478,lineFrequency,J01G11301BNB114,2023-01-01T05:22:07.327,60.02,13
2563738314,2023-01-01T08:22:09.861048,ACurrent,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738315,2023-01-01T08:22:09.861749,AVoltage,J01G11301BNB114,2023-01-01T05:22:07.327,222.5,13
2563738316,2023-01-01T08:22:09.862302,inverterStatus,J01G11301BNB114,2023-01-01T05:22:07.327,Check,13
2563738317,2023-01-01T08:22:09.862864,PV4Current,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738318,2023-01-01T08:22:09.863525,Temp,J01G11301BNB114,2023-01-01T05:22:07.327,24,13
2563738319,2023-01-01T08:22:09.864163,BVoltage,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
2563738320,2023-01-01T08:22:09.864770,BCurrent,J01G11301BNB114,2023-01-01T05:22:07.327,0,13
